Order ID,Order Date,Region,Customer Name,Customer Segment,Product Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit
1,2022-04-13,Central,Krishna,Home Office,Office Supplies,Paper,1,314.21,0.1,282.79,76.23
2,2023-03-12,South,Saanvi,Corporate,Office Supplies,Pens,9,1006.38,0.05,8604.55,2340.09
3,2022-09-28,Central,Kavya,Home Office,Electronics,Laptop,9,1889.45,0.05,16154.8,1953.7
4,2022-04-17,North,Rohit,Home Office,Office Supplies,Pens,8,1020.25,0.1,7345.8,2065.08
5,2022-03-13,North,Nisha,Corporate,Furniture,Storage,5,1032.2,0.0,5161.0,333.24
6,2023-12-02,West,Vivaan,Home Office,Electronics,Accessories,7,552.73,0.15,3288.74,520.25
7,2022-01-21,North,Riya,Consumer,Electronics,Accessories,6,654.2,0.0,3925.2,1172.26
8,2023-09-07,North,Sai,Consumer,Electronics,Accessories,5,1679.36,0.05,7976.96,1703.54
9,2022-05-02,South,Pooja,Consumer,Furniture,Storage,6,560.26,0.05,3193.48,689.87
10,2023-04-12,Central,Riya,Consumer,Office Supplies,Binders,5,1840.66,0.05,8743.14,1941.85
11,2022-08-03,Central,Rohit,Corporate,Office Supplies,Paper,7,1400.52,0.15,8333.09,652.63
12,2022-11-27,South,Meera,Corporate,Office Supplies,Binders,1,187.4,0.0,187.4,31.8
13,2023-04-04,Central,Krishna,Home Office,Office Supplies,Binders,8,1359.04,0.05,10328.7,2886.25
14,2022-03-29,West,Vivaan,Consumer,Office Supplies,Paper,3,1329.6,0.2,3191.04,777.56
15,2023-01-08,West,Sneha,Consumer,Office Supplies,Pens,8,1787.84,0.2,11442.18,792.78
16,2022-04-10,West,Krishna,Consumer,Office Supplies,Paper,6,1649.91,0.1,8909.51,1599.98
17,2023-10-26,East,Sai,Corporate,Furniture,Tables,2,1276.98,0.1,2298.56,523.57
18,2022-05-11,South,Diya,Corporate,Furniture,Chairs,3,787.78,0.1,2127.01,295.86
19,2023-10-24,Central,Vihaan,Corporate,Furniture,Tables,1,1963.82,0.2,1571.06,384.94
20,2022-11-05,South,Rohit,Home Office,Electronics,Accessories,3,1205.51,0.0,3616.53,311.86
21,2022-12-10,East,Vihaan,Consumer,Office Supplies,Paper,2,1034.62,0.2,1655.39,417.89
22,2023-05-07,South,Kunal,Corporate,Electronics,Accessories,8,566.92,0.1,4081.82,580.66
23,2023-02-18,East,Riya,Corporate,Furniture,Tables,1,1871.28,0.2,1497.02,169.45
24,2023-01-21,North,Vihaan,Home Office,Office Supplies,Binders,9,1750.71,0.2,12605.11,2234.61
25,2022-07-11,Central,Meera,Consumer,Office Supplies,Paper,9,247.27,0.1,2002.89,374.86
26,2022-10-04,South,Meera,Consumer,Furniture,Tables,8,1724.02,0.05,13102.55,1015.51
27,2022-06-10,East,Saanvi,Corporate,Electronics,Accessories,9,1780.84,0.15,13623.43,2293.62
28,2023-04-05,East,Arjun,Corporate,Electronics,Accessories,2,1647.88,0.15,2801.4,512.61
29,2022-11-10,West,Aarav,Home Office,Furniture,Storage,7,1732.4,0.05,11520.46,1063.12
30,2022-01-22,West,Kavya,Corporate,Furniture,Tables,6,1275.42,0.1,6887.27,1295.39
31,2022-09-10,Central,Arjun,Home Office,Electronics,Mobile,9,549.77,0.0,4947.93,1076.12
32,2023-07-15,West,Vivaan,Home Office,Office Supplies,Binders,4,995.47,0.05,3782.79,492.44
33,2023-04-20,North,Aarav,Home Office,Furniture,Tables,2,1336.75,0.2,2138.8,157.5
34,2022-02-28,Central,Krishna,Corporate,Electronics,Laptop,9,154.47,0.1,1251.21,338.14
